n,t(n),t(n)/sqrt(n),t(n)/n^2,t(n)/nln(n)
39700,884,,,
39800,890,,,
39900,893,,,
40000,900,,,
40100,900,,,
40200,903,,,
40300,913,,,
40400,916,,,
40500,917,,,
40600,926,,,
40700,932,,,
40800,938,,,
40900,935,,,
41000,943,,,
41100,944,,,
41200,950,,,
41300,962,,,
41400,963,,,
41500,963,,,
41600,967,,,
41700,996,,,
41800,983,,,
41900,981,,,
42000,985,,,
42100,991,,,
42200,997,,,
42300,999,,,
42400,1008,,,
42500,1011,,,
42600,1010,,,
42700,1020,,,
42800,1028,,,
42900,1032,,,
43000,1033,,,
43100,1042,,,
43200,1038,,,
43300,1048,,,
43400,1054,,,
43500,1055,,,
43600,1062,,,
43700,1065,,,
43800,1066,,,
43900,1079,,,
44000,1081,,,
44100,1117,,,
44200,1099,,,
44300,1104,,,
44400,1102,,,
44500,1108,,,
44600,1115,,,
44700,1120,,,
44800,1128,,,
44900,1127,,,
45000,1133,,,
45100,1134,,,
45200,1156,,,
45300,1204,,,
45400,1163,,,
45500,1230,,,
45600,1167,,,
45700,1193,,,
45800,1173,,,
45900,1174,,,
46000,1208,,,
46100,1204,,,
46200,1190,,,
46300,1197,,,
46400,1201,,,
46500,1212,,,
46600,1214,,,
46700,1224,,,
46800,1233,,,
46900,1229,,,
47000,1231,,,
47100,1229,,,
47200,1277,,,
47300,1258,,,
47400,1265,,,
47500,1280,,,
47600,1260,,,
47700,1267,,,
47800,1272,,,
47900,1272,,,
48000,1295,,,
48100,1339,,,
48200,1311,,,
48300,1368,,,
48400,1313,,,
48500,1323,,,
48600,1332,,,
48700,1320,,,
48800,1329,,,
48900,1381,,,
49000,1350,,,
49100,1347,,,
49200,1350,,,
49300,1353,,,
49400,1363,,,
49500,1365,,,
49600,1371,,,
49700,1374,,,
49800,1396,,,
49900,1419,,,
